,Cities,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
66,geraldton,49.72,-86.95,66.2,88,90,6.93
67,ilulissat,69.22,-51.1,39.2,86,88,8.05
68,kodiak,39.95,-94.76,69.8,94,1,4.7
69,maloshuyka,,,,,,
70,amarkantak,22.67,81.76,81.87,87,48,11.07
71,lima,-12.06,-77.04,57.39,72,64,1.12
72,mys shmidta,,,,,,
73,khatanga,71.98,102.47,48.21,66,92,18.01
74,sola,58.89,5.65,59.23,93,40,4.7
75,koumac,-20.56,164.28,70.71,76,76,4.59
76,fort nelson,58.81,-122.69,66.2,82,40,3.36
77,the valley,18.22,-63.06,82.4,69,40,11.41
78,khanu woralaksaburi,16.06,99.86,89.88,70,92,7.38
79,victoria,5.28,115.24,88.74,74,75,9.17
80,tukrah,,,,,,
81,boysun,38.2,67.2,86.01,22,0,1.9
82,shasta lake,40.68,-122.36,84.09,35,1,1.9
83,atuona,-9.8,-139.03,79.53,100,24,20.8
84,santa maria,-29.69,-53.81,43.8,88,80,11.74
85,chokurdakh,70.62,147.9,53.61,76,88,13.76
86,tuktoyaktuk,69.44,-133.03,51.8,71,75,12.75
87,yellowknife,62.45,-114.38,64.4,55,20,2.24
88,illoqqortoormiut,,,,,,
89,grand river south east,,,,,,
90,lebu,8.96,38.73,57.3,100,92,4.03
91,lorengau,-2.02,147.27,84.48,96,80,15.66
92,alyangula,-13.85,136.42,77.64,85,0,21.59
93,rtishchevo,52.26,43.79,71.07,96,68,4.47
94,saint-francois,46.42,3.91,60.8,93,0,3.36
95,vazhiny,60.96,34.04,75.03,64,48,14.65
96,iqaluit,63.75,-68.52,48.2,81,20,19.46
97,saskylakh,71.97,114.09,45.96,69,56,14.43
98,norman wells,65.28,-126.83,55.4,58,75,9.17
99,lysyye gory,51.55,44.84,69.72,86,88,7.49
100,tautira,-17.73,-149.15,78.8,69,75,6.93
101,attawapiskat,,,,,,
102,jamestown,-33.21,138.6,52.26,73,64,9.06
103,bambanglipuro,-7.95,110.28,87.81,54,0,6.93
104,gainesville,29.65,-82.33,76.95,88,1,3.91
105,butaritari,3.07,172.79,85.11,100,80,6.93
106,anyama,5.5,-4.06,77,88,40,4.7
107,kapaa,22.08,-159.32,81.59,74,90,13.87
108,berlevag,70.86,29.09,55.41,82,76,4.36
109,arkansas city,37.06,-97.04,86.11,62,40,4.7
110,provideniya,64.42,-173.23,45.78,97,88,10.07
111,flinders,-34.58,150.85,62.6,25,0,5.82
112,san cristobal,-0.39,-78.55,51.8,87,75,9.17
113,palmer,-34.85,139.16,59,51,75,18.34
114,batagay,67.65,134.64,62.16,73,88,7.72
115,diapaga,12.07,1.79,70.89,96,80,8.05
116,anqing,30.51,117.04,91.86,71,0,9.4
117,divnogorsk,55.96,92.38,71.6,43,0,6.71
118,tasiilaq,65.61,-37.64,41,86,56,4.7
119,egvekinot,66.32,-179.17,52.62,81,76,3.58
120,henties bay,-22.12,14.28,67.56,59,0,20.13
121,praia da vitoria,38.73,-27.07,69.8,88,40,12.97
122,cabo san lucas,22.89,-109.91,84.2,58,5,4.7
123,sentyabrskiy,,,,,,
124,taolanaro,,,,,,
125,souillac,45.6,-0.6,58.01,87,0,4.92
126,constitucion,23.99,-104.67,64.4,63,75,16.11
127,mrirt,,,,,,
128,kloulklubed,7.04,134.26,80.6,83,90,11.41
129,okhotsk,59.36,143.24,62.61,77,20,3.91
130,itoman,26.12,127.67,82.92,83,75,25.28
131,hofn,64.25,-15.21,49.92,99,48,4.14
132,esperance,10.24,-61.45,78.8,83,20,6.93
133,mindelo,41.31,-8.72,59,87,0,6.93
134,san matias,13.97,-86.63,68,68,20,3.36
135,fortuna,38.18,-1.13,73.42,94,0,3.36
136,moletai,55.23,25.42,64.4,93,75,6.93
137,vila velha,-3.71,-38.6,78.8,83,75,12.75
138,hithadhoo,-0.6,73.08,79.98,100,80,6.93
139,varska,,,,,,
140,banning,33.93,-116.88,75.36,44,1,6.93
141,saint-pierre,48.95,4.24,61.79,100,90,8.05
142,port elizabeth,39.31,-74.98,70.5,77,1,5.82
143,rocha,-34.48,-54.34,41.91,86,44,20.58
144,bengkulu,,,,,,
145,sukumo,32.94,132.72,81.06,86,100,9.62
146,lanivtsi,49.87,26.08,66.48,94,88,10.18
147,bethel,60.79,-161.76,66.2,68,90,5.82
148,alta gracia,-31.66,-64.43,35.6,55,0,5.82
149,dakar,14.69,-17.45,80.43,100,0,14.76
150,pa sang,18.53,98.94,82.4,78,75,2.24
151,jujuy,,,,,,
152,aloleng,16.13,119.78,77.1,100,92,18.45
153,beringovskiy,63.05,179.32,48.75,100,92,17.45
154,tungor,53.39,142.95,53.7,100,92,16.22
155,gambiran,-7.93,111.77,89.88,44,8,3.91
156,okahandja,-21.98,16.91,41.19,76,0,7.05
157,nanakuli,21.39,-158.15,81.19,73,75,5.82
158,cherskiy,68.75,161.3,63.51,39,0,4.7
159,korla,,,,,,
160,broken hill,-31.97,141.45,56.85,58,80,6.04
161,qaanaaq,77.48,-69.36,38.85,88,92,12.41
162,vilyuysk,63.75,121.63,69.81,56,44,10.4
163,sao joao da barra,-21.64,-41.05,74.04,97,0,23.82
164,tilichiki,60.47,166.1,51.63,100,92,3.69
165,upernavik,72.79,-56.15,39.48,95,64,4.14
166,tymovskoye,50.85,142.66,60,81,88,8.39
167,ancud,-41.87,-73.83,47.67,98,92,9.95
168,mar del plata,-46.43,-67.52,41.64,80,0,13.98
169,porangatu,-13.44,-49.14,65.31,61,24,8.61
170,tezu,27.93,96.16,80.79,74,56,1.68
171,miraflores,5.2,-73.14,49.47,98,88,0.34
172,pisco,-13.71,-76.2,64.4,82,75,2.24
173,yulara,-25.24,130.99,71.6,21,0,9.17
174,lufkin,31.34,-94.73,82.36,74,1,4.7
175,tynda,55.15,124.74,72.6,60,92,5.48
176,lompoc,34.64,-120.46,64.99,68,40,5.82
177,karatu,-3.34,35.67,59.01,94,48,10.96
178,pabna,24,89.25,81.15,91,92,20.69
179,bud,62.91,6.91,58.35,87,75,5.82
180,bambous virieux,-20.34,57.76,69.8,73,40,14.99
181,nome,30.04,-94.42,81.52,88,1,5.82
182,ibotirama,-12.18,-43.22,62.7,88,0,7.94
183,uchaly,54.32,59.38,59.64,81,88,10.63
184,qaqortoq,60.72,-46.03,46.4,93,88,4.7
185,mount isa,-20.73,139.49,69.8,14,0,8.05
186,pevek,69.7,170.27,55.95,67,0,6.6
187,iguape,-24.7,-47.56,65.22,96,8,2.91
188,boa vista,2.82,-60.67,77,94,0,1.12
189,jamame,0.07,42.75,80.34,66,36,13.98
190,vaitupu,,,,,,
191,castro,-42.48,-73.76,45.78,100,92,6.93
192,coolum beach,-26.53,153.09,59.64,85,0,5.48
193,bogorodskoye,52.37,140.44,59.1,77,80,9.51
194,wattegama,7.35,80.68,74.76,97,76,6.04
195,hasaki,35.73,140.83,92.25,56,75,9.17
196,mecca,21.43,39.83,89.6,33,0,7.16
197,chuy,-33.69,-53.46,45.42,89,12,22.7
198,kibakwe,-6.71,36.37,64.95,61,8,7.16
199,conceicao do araguaia,-8.26,-49.26,67.38,74,0,4.7
200,rameshki,57.35,36.05,72.51,87,88,10.18
201,sadovoye,47.78,44.52,76.38,88,20,8.5
202,tunghsiao,,,,,,
203,bac lieu,,,,,,
204,korfovskiy,48.22,135.06,69.8,68,40,11.18
205,komsomolsk-na-amure,50.55,137.02,67.74,71,24,8.61
206,grand centre,,,,,,
207,savalou,7.93,1.98,71.25,99,100,6.15
208,ponta delgada,37.73,-25.67,66.2,77,20,4.7
209,russell,-33.01,-68.8,35.6,68,0,1.34
210,tocopilla,-22.09,-70.2,53.7,100,44,3.69
211,soyo,-6.13,12.37,69.81,94,92,3.47
212,thompson,55.74,-97.86,57.2,71,40,4.7
213,lekoni,-1.58,14.26,66.03,90,0,3.13
214,waipawa,-39.94,176.59,51.81,59,0,10.74
215,nizwa,22.93,57.53,101.4,17,0,4.03
216,lucea,18.44,-78.17,84.2,79,20,3.36
217,yenangyaung,20.46,94.87,82.68,91,68,13.09
218,laguna,27.52,-110.01,87.9,44,32,2.35
219,saint-joseph,43.56,6.97,70.93,88,0,3.36
220,coronado,8.53,-79.9,76.65,100,92,2.13
221,samfya,-11.37,29.56,55.59,87,0,13.53
222,hay river,60.82,-115.79,60.8,82,75,6.93
223,georgetown,6.8,-58.16,75.2,100,0,4.7
224,santa lucia,39.93,9.66,73.4,83,0,5.82
225,yantal,56.85,105.25,66.75,64,92,7.49
226,shimoda,34.7,138.93,87.8,70,40,18.34
227,songkhla,7.2,100.6,88.79,66,20,6.93
228,poya,-21.35,165.16,70.71,100,48,8.61
229,sao miguel do araguaia,-13.28,-50.16,63.6,85,0,2.68
230,pacific grove,36.62,-121.92,61.65,77,1,8.05
231,east london,-33.02,27.91,62.6,33,0,8.05
232,lyubech,51.7,30.66,67.38,100,100,7.94
233,enshi,30.29,109.48,89.16,62,20,3.58
234,vardo,39.62,-77.74,71.87,88,75,5.82
235,middlebury,44.01,-73.17,69.78,56,1,4.7
236,faanui,-16.48,-151.75,79.08,100,76,13.09
237,caravelas,-17.73,-39.27,75.84,100,0,10.4
238,hualmay,-11.1,-77.61,53.97,96,44,0.11
239,iracoubo,5.48,-53.21,74.49,91,20,3.91
240,eureka,40.8,-124.16,52.84,87,1,5.82
241,ketchikan,55.34,-131.65,64.36,68,1,6.93
242,goderich,43.74,-81.71,74.85,64,92,16.67
243,guarda,40.54,-7.27,51.54,86,0,2.57
244,bilibino,68.06,166.44,64.5,63,32,3.02
245,smithers,54.78,-127.17,55.4,93,75,3.36
246,qui nhon,,,,,,
247,issia,6.49,-6.58,71.88,98,92,4.36
248,vilcun,-38.65,-72.23,26.88,74,64,3.69
249,bathsheba,13.22,-59.52,80.6,78,20,18.34
250,port alfred,-33.59,26.89,66.21,63,0,12.64
251,rongcheng,37.16,122.42,84.39,78,0,8.39
252,abramovka,51.19,41.01,69.99,100,12,4.36
253,ongandjera,-17.88,15.07,48.21,56,8,10.51
254,beroroha,-21.68,45.17,70.53,56,8,9.4
255,andenes,,,,,,
256,morant bay,17.88,-76.41,84.2,79,20,17.22
257,nizhneyansk,,,,,,
258,salalah,17.01,54.1,77,94,90,6.93
259,kamenskoye,,,,,,
260,poum,41.28,20.71,51.8,87,0,4.7
261,bijni,26.5,90.7,82.14,95,80,4.14
262,alta floresta,-9.87,-56.08,74.31,49,0,4.03
263,fort-de-france,14.61,-61.07,80.6,74,90,17.22
264,guerrero negro,27.97,-114.04,67.38,97,20,9.95
265,praxedis guerrero,31.37,-106.02,90.46,18,1,6.93
266,jumla,29.28,82.18,53.61,92,12,1.45
267,kaimganj,27.55,79.34,93.66,85,8,4.36
268,shalyhyne,51.58,34.1,73.59,94,32,4.47
269,caconda,-13.73,15.06,44.79,77,0,9.51
270,la palma,5.36,-74.39,65.76,94,56,2.35
271,ponta do sol,-20.63,-46,51,81,0,2.57
272,sao filipe,14.9,-24.5,75.66,99,0,7.61
273,port arthur,29.9,-93.93,81.95,88,1,5.82
274,zlobin,45.29,14.65,71.6,56,0,2.24
275,iranshahr,27.21,60.69,98.6,22,0,4.7
276,berdigestyakh,62.1,126.7,72.33,47,56,8.39
277,broome,52.47,1.45,59,87,24,2.24
278,kruisfontein,-34,24.73,59.73,72,0,7.38
279,nicoya,10.15,-85.45,78.8,74,0,6.93
280,jizan,16.89,42.56,89.6,79,44,6.93
281,sobolevo,54.43,31.9,66.21,100,92,4.47
282,contamana,-7.35,-75.01,71.79,96,8,1.9
283,dzhebariki-khaya,62.22,135.8,76.2,35,0,3.36
284,nkhotakota,-12.93,34.3,60.9,100,76,7.16
285,yar-sale,66.83,70.83,61.71,63,44,4.47
286,haines junction,60.75,-137.51,62.7,39,48,1.9
287,pangody,65.85,74.49,65.4,35,0,4.92
288,bodden town,19.28,-81.25,84.57,98,12,12.64
289,uyuni,-20.46,-66.82,27.06,44,80,5.7
290,arraial do cabo,-22.97,-42.02,70.98,91,0,20.02
291,eskasem,,,,,,
292,vilhena,-12.74,-60.15,69.36,52,0,4.14
293,narasannapeta,18.42,84.04,77.55,96,92,8.39
294,jaciara,-15.95,-54.98,60.99,71,8,2.46
295,ballina,54.11,-9.15,56.31,93,92,7.61
296,mezen,65.85,44.24,73.86,59,0,5.59
297,san quintin,17.54,120.52,73.41,95,92,9.17
298,codrington,-28.95,153.24,55.86,54,0,2.57
299,susanville,40.42,-120.65,82.4,15,1,9.17
300,adrar,27.87,-0.29,93.2,14,0,5.82
301,nikolskoye,59.7,30.79,69.8,88,90,11.18
302,saldanha,41.42,-6.55,57.93,92,8,3.47
303,menongue,-14.66,17.68,44.88,70,0,4.7
304,leningradskiy,69.38,178.42,42.81,79,44,16.55
305,sivas,39.75,37.01,57.2,82,0,4.03
306,taft,11.9,125.42,87.81,83,36,15.99
307,balykshi,,,,,,
308,chapais,49.78,-74.86,64.4,63,1,6.93
309,markkleeberg,51.28,12.37,62.67,63,0,10.29
310,evensk,61.92,159.24,60.36,76,32,2.01
311,sakakah,,,,,,
312,inderborskiy,,,,,,
313,kargasok,59.06,80.87,59.91,48,88,7.38
314,mayumba,-3.44,10.65,70.17,96,80,5.93
315,ahipara,-35.17,173.16,58.2,88,100,18.23
316,namatanai,-3.66,152.44,83.31,100,92,9.4
317,sembakung,3.82,117.25,87.9,72,12,2.57
318,galle,29.74,-97.91,86.05,66,1,11.41
319,saleaula,,,,,,
320,makakilo city,21.35,-158.09,81.16,73,75,5.82
321,issoire,45.54,3.25,60.8,93,56,3.36
322,havoysund,71,24.66,53.6,93,75,6.93
323,saint-augustin,44.83,-0.61,61.61,88,75,1.12
324,kuche,,,,,,
325,inongo,-1.93,18.29,75.3,81,0,2.01
326,proddatur,14.76,78.55,85.65,60,80,18.01
327,grand gaube,-20.01,57.66,69.8,73,40,14.99
328,cidreira,-30.17,-50.22,50.28,96,12,20.58
329,krokeai,36.88,22.55,69.8,73,0,4.7
330,qasigiannguit,68.82,-51.19,39.2,86,88,9.17
331,marawi,8,124.29,82.14,64,68,5.59
332,north fort myers,26.67,-81.88,82.9,78,40,4.7
333,kavieng,-2.57,150.8,84.03,100,32,10.18
334,thongwa,16.76,96.52,82.4,94,90,9.17
335,quatre cocos,-20.21,57.76,69.8,73,40,14.99
336,santa fe,-31.62,-60.7,35.7,86,0,6.93
337,george,6.63,3.35,75.2,100,40,2.24
338,zabaykalsk,49.64,117.33,77.64,86,32,8.95
339,ebolowa,2.92,11.15,69.18,98,92,1.57
340,abha,18.22,42.5,70.83,77,5,3.36
341,tupik,54.43,119.94,68.46,80,92,7.49
342,ibra,22.69,58.55,96.27,35,0,4.36
343,muzaffarabad,34.37,73.47,80.25,78,44,2.01
344,turbat,26,63.05,90.87,61,32,4.03
345,sawakin,19.1,37.33,91.4,46,0,10.29
346,chegdomyn,51.13,133.04,74.13,75,32,3.36
347,obihiro,42.92,143.2,84.2,66,40,4.7
348,asau,,,,,,
349,coahuayana,18.62,-100.35,69.9,76,44,4.36
350,buta,2.79,24.73,72.78,92,32,2.91
351,les cayes,18.19,-73.75,82.14,100,0,13.65
352,lolua,,,,,,
353,asfi,,,,,,
354,muzhi,65.4,64.7,69.36,76,0,6.49
355,sandy bay,-42.9,147.33,51.8,53,75,8.05
356,panzhihua,26.59,101.72,82.95,56,12,2.91
357,houma,35.63,111.36,90.6,56,8,4.03
358,baruun-urt,46.68,113.28,81.33,68,0,17.11
359,rio cuarto,-33.13,-64.35,37.4,55,0,8.05
360,tabuk,17.41,121.44,70.62,100,92,2.13
361,rabo de peixe,37.8,-25.58,66.2,77,20,4.7
362,mayo,63.59,-135.9,69.8,43,75,9.17
363,tomino,54.95,61.17,62.6,88,75,13.42
364,rawson,-43.3,-65.11,27.78,91,36,7.38
365,lalibela,12.04,39.05,56.49,98,88,2.35
366,rawannawi,,,,,,
367,borogontsy,62.67,131.17,76.92,41,0,4.47
368,majene,-3.54,118.97,83.67,95,24,13.76
369,port lincoln,-34.72,135.86,59.46,80,44,17.45
370,bonthe,7.53,-12.5,74.85,100,92,4.14
371,sorland,67.67,12.69,55.14,98,68,11.74
372,gwadar,25.12,62.33,88.71,80,32,5.37
373,moba,-7.04,29.77,64.59,82,0,7.72
374,zhuozhou,,,,,,
375,vila franca do campo,37.72,-25.43,66.2,77,20,4.7
376,roma,41.89,12.48,71.11,68,0,4.7
377,mixtepec,,,,,,
378,changji,32.07,116.17,93.66,64,0,9.51
379,talara,-4.58,-81.27,66.84,80,12,6.49
380,sao felix do xingu,-6.64,-51.99,75.21,61,0,3.13
381,safwah,,,,,,
382,kwinana,-32.25,115.77,65.37,100,90,11.41
383,samarai,-10.62,150.67,78.27,98,36,14.43
384,kamaishi,39.28,141.86,87.8,58,75,5.82
385,fethiye,36.62,29.12,82.4,45,0,6.93
386,isangel,-19.55,169.27,73.32,100,12,7.16
387,san luis,-33.3,-66.34,31.56,57,0,8.16
388,trincomalee,8.58,81.23,92.31,52,20,21.7
389,toora-khem,52.47,96.11,59.19,76,76,3.02
390,mawlaik,23.63,94.42,75.66,99,92,2.01
391,beloha,-25.17,45.06,65.67,70,48,10.74
392,palana,59.08,159.95,62.34,73,24,3.36
393,kozan,,,,,,
394,datia,25.66,78.46,86.28,100,36,4.7
395,jackson,35.61,-88.82,82.4,94,1,6.93
396,los llanos de aridane,28.66,-17.92,71.6,73,0,17.22
397,nampula,-15.12,39.26,59,93,75,11.41
398,port augusta,-32.49,137.76,62.6,39,75,18.34
399,baykit,61.68,96.39,55.32,54,20,8.05
400,qinhuangdao,39.94,119.59,88.89,69,32,8.16
401,sokoto,13.06,5.24,74.76,93,68,11.18
402,aguimes,27.91,-15.45,69.8,77,20,26.4
403,iwanai,42.97,140.51,72.42,77,8,12.53
404,williston,48.15,-103.62,65.46,60,1,8.05
405,porto novo,-23.68,-45.44,62.6,82,40,2.13
406,port macquarie,-31.43,152.91,62.6,29,0,6.93
407,lagoa,37.14,-8.45,64.4,77,0,5.82
408,seoul,37.57,126.98,93.56,46,0,3.36
409,batemans bay,-35.71,150.18,55.41,75,0,4.14
410,mikumi,-7.4,36.98,69,58,36,4.36
411,abu jubayhah,,,,,,
412,santa vitoria do palmar,-33.52,-53.37,45.42,89,12,22.7
413,rurrenabaque,-14.44,-67.53,65.58,100,76,2.35
414,jarjis,,,,,,
415,karamea,,,,,,
416,maun,-19.99,23.42,48.3,76,8,11.52
417,bairiki,,,,,,
418,kyra,,,,,,
419,touros,-5.2,-35.46,76.56,84,88,16.22
420,manzhouli,49.6,117.43,77.64,86,32,8.95
421,biak,-0.91,122.88,74.13,100,76,4.14
422,mahebourg,-20.41,57.7,69.8,73,40,14.99
423,hamilton,32.3,-64.78,78.8,88,75,11.41
424,buraydah,26.33,43.97,89.6,25,0,8.05
425,alice springs,-23.7,133.88,73.4,17,0,6.93
426,ciudad guayana,8.32,-62.69,75.3,96,20,4.47
427,tura,25.52,90.21,82.41,88,88,6.38
428,necochea,-38.55,-58.74,46.59,100,92,32.21
429,torbay,47.66,-52.73,60.8,82,40,12.75
430,viligili,,,,,,
431,novobirilyussy,56.95,90.69,69,63,8,4.14
432,gushi,32.17,115.65,95.1,59,0,10.96
433,hami,42.84,93.51,88.44,37,0,4.92
434,marcona,,,,,,
435,udachnyy,66.42,112.4,48.93,50,48,5.59
436,mount gambier,-37.83,140.78,49.74,89,88,5.59
437,skibbereen,51.55,-9.27,57.2,87,75,6.93
438,duncan,34.5,-97.96,89.73,35,1,8.05
439,mizpe ramon,,,,,,
440,fort morgan,40.25,-103.8,78.8,65,1,14.99
441,belyy yar,53.6,91.39,73.4,56,0,4.47
442,abeche,13.83,20.83,75.57,77,0,7.49
443,talnakh,69.49,88.39,50.73,59,44,3.91
444,hongjiang,27.21,109.83,91.86,62,20,3.58
445,kalispell,48.2,-114.32,66.2,20,1,8.05
446,saint george,39.45,22.34,73.4,64,0,4.7
447,shestakovo,56.49,103.96,68.01,61,44,8.05
448,santa cruz,36.97,-122.03,67.44,77,1,8.05
449,torata,-17.08,-70.84,37.68,84,36,1.68
450,heishan,41.69,122.12,93.75,47,8,18.12
451,ostrovnoy,68.05,39.51,77.82,56,0,12.41
452,shenjiamen,29.96,122.3,80.25,100,92,24.27
453,longyan,25.1,117.03,80.16,93,44,1.68
454,hoa binh,20.81,105.34,84.2,89,75,9.17
455,namibe,-15.19,12.15,67.11,95,0,3.02
456,north bend,43.41,-124.22,55.4,87,1,27.51
457,benito juarez,28.64,-111.57,89.16,40,92,4.36
458,marrakesh,31.63,-7.99,73.4,56,76,1.12
459,nizhniy tsasuchey,50.52,115.13,77.19,99,12,8.16
460,abu samrah,35.3,37.18,79.53,61,0,12.64
461,mozhaysk,55.5,36.03,71.52,98,68,7.72
462,melo,-32.37,-54.17,44.61,81,88,18.23
463,diffa,13.32,12.61,77.73,80,0,10.74
464,pandan,11.72,122.09,85.74,93,100,25.72
465,slave lake,55.28,-114.77,55.4,93,90,5.82
466,nyurba,63.29,118.35,65.94,52,92,10.07
467,zhuanghe,39.7,122.97,77.28,89,32,9.62
468,kahului,20.89,-156.47,78.08,61,75,18.34
469,airai,-8.93,125.41,79.44,65,24,2.13
470,luderitz,-26.65,15.16,55.41,66,0,5.03
471,taywarah,33.35,64.42,78.27,27,0,2.91
472,sambava,-14.27,50.17,74.04,100,92,21.25
473,babanusah,,,,,,
474,biltine,14.53,20.93,77.82,70,0,11.18
475,dutlwe,-23.98,23.93,40.83,81,20,9.06
476,manta,45.1,24.1,68.73,93,48,4.03
477,wangkui,46.83,126.5,80.79,95,80,13.53
478,grindavik,63.84,-22.43,48.2,100,90,10.29
479,gizo,31.8,34.94,79.86,74,40,6.93
480,port-cartier,50.03,-66.88,59,87,40,6.93
481,marsa matruh,31.35,27.25,73.4,88,20,5.82
482,abu dhabi,24.47,54.37,93.2,38,12,3.36
483,altamira,-3.2,-52.21,77.73,68,48,2.13
484,colon,41.3,-96.61,71.19,94,1,4.7
485,pueblo nuevo,23.99,-106.96,82.5,81,12,2.35
486,puerto madryn,-42.77,-65.04,36.06,100,8,7.05
487,balikpapan,-1.24,116.86,86,79,20,6.93
488,xining,36.62,101.77,69.99,70,0,3.58
489,panaba,21.28,-88.27,73.14,91,0,2.57
490,alipur chatha,32.27,73.82,89.6,70,40,4.36
491,lake charles,30.23,-93.22,82.78,88,1,6.93
492,naze,5.43,7.07,70.26,99,88,4.14
493,mana,43.52,20.24,59.09,93,0,1.12
494,tumannyy,,,,,,
495,kadyy,57.79,43.19,72.96,76,24,13.65
496,mulege,26.88,-111.98,76.83,65,36,1.68
497,rolim de moura,,,,,,
498,fuxin,42.02,121.65,92.85,57,0,19.01
499,kirakira,-10.46,161.92,79.89,100,76,17.78
500,praia,-20.25,-43.81,44.7,82,0,2.46
501,chiredzi,-21.05,31.67,56.76,94,80,5.37
502,barra dos coqueiros,-10.91,-37.04,71.6,88,40,3.36
503,deputatskiy,69.3,139.9,53.88,70,68,5.93
504,maracas,10.76,-61.44,78.8,83,20,6.93
505,listvyanka,51.86,104.86,60.8,87,90,17.9
506,pleszew,51.9,17.79,66.66,90,0,4.14
507,kalmunai,7.42,81.82,94.47,48,36,5.37
508,medicine hat,50.04,-110.68,69.8,52,1,5.82
509,aldan,58.61,125.39,76.74,54,36,4.03
510,izumo,35.37,132.75,92.01,50,40,6.93
511,bargal,,,,,,
512,aflu,,,,,,
513,razdolinsk,58.42,94.62,65.31,63,56,4.03
514,carahue,-38.71,-73.16,45.15,100,92,8.61
515,jawhar,19.91,73.23,73.77,100,92,7.49
516,rosarito,4.91,-75.23,69.8,88,40,2.24
517,santiago,-33.44,-70.65,42.8,52,0,2.24
518,polson,47.69,-114.16,54.69,36,0,2.35
519,olafsvik,,,,,,
520,grootfontein,-19.56,18.1,36.96,79,12,5.37
521,cozumel,,,,,,
522,sfantu gheorghe,44.65,26.83,70.7,94,0,2.24
523,port hardy,50.7,-127.42,57.2,76,75,8.05
524,sept-iles,50.2,-66.38,59,87,40,6.93
525,podgorenskiy,50.4,39.64,67.47,100,88,4.03
526,vao,59.1,26.19,66.93,99,92,3.13
527,vuktyl,63.86,57.31,72.6,45,0,3.47
528,port hedland,-20.31,118.58,86,33,0,6.93
